region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
DE,1,de,29,126,cpuhub1,78,4,1.33963E+11,1
VN,7,en,289,12070,17,302,5,1.44033E+11,1
US,-4,en,1,368,1x3090,449,1,32186228332,1
VN,7,vi,0,1433,1x3090,32,1,56041144320,0
CA,-8,en,29,13,1x3090,948,1,1.62352E+11,1
VN,7,vi,0,52,1x2080Ti,21,1,55922655232,1
MX,-6,en,265,18373,16,26,3,3.5112E+11,1
SE,1,sv,8,3367,1x3090,62,1,79013347328,1
FR,2,en,11,51,cpuhub1,5,1,37539020800,0
US,-5,en,317,46,6x3080,17,9,2.77677E+11,1
MX,-5,es,1,64,cpuhub1,153,1,12635340800,0
US,-7,en,232,5090,16,17,3,8.44096E+11,1
ES,1,es,2,40,22,7,2,59728068340,1
IN,5,en,0,1037,1x3090,51,2,1.77805E+11,0
NZ,12,en,0,36,cpuhub1,5,1,26847739904,0
SA,3,en,10,4441,1x3090,31,4,1.39565E+11,0
PH,8,en,27,28,23,15,5,7.67678E+11,1
IT,1,it,413,314,cpuhub1,4,3,52760150016,0
US,-5,en,0,32,1x2080Ti,180,1,12530483200,0
ID,7,en,85,1589,1x3090,16,3,57011914034,1
GB,0,en,1,1022,16,16,2,50786729984,0
AR,-3,es,1,52,6x3080,70,1,4523081250,1
RO,3,ro,NULL,94955,1x3090,0,2,5121245184,1
IL,3,he,1,64,1x3090,7,1,1.09621E+11,1
KW,3,en,45,59,16,198,3,98902096653,1
PE,-5,en,229,236,1x2080Ti,650,4,74849785634,1
BY,3,ru,0,15,1x3090,13,1,24172822528,0
CZ,1,cs,0,137,1x3090,1,1,54432628736,0
DE,1,de,407,232,1x3090,53,13,3.18942E+11,1
US,-5,en,31,5558,6x3090,34,3,6.16077E+11,1
VN,7,vi,96,265,1x2080Ti,85,2,80168219893,1
IT,2,en,0,35389,cpuhub1,36,1,63220744192,0
DE,1,fr,0,34,1x3090,36,1,40828403712,0
IT,1,en,87,48,22,32,2,46849929667,1
VN,7,en,NULL,51,6x2080ti,34,2,26466058240,1
AO,1,en,31,25,1x2080Ti,32,2,1.02142E+11,1
TW,8,zh,0,671,golden,14,1,10949230592,0
GR,3,en,8,917,1x3090,104,1,51442089984,1
YE,3,en,309,2119,1x3090,18,5,2.24264E+11,1
VN,7,en,717,70,NULL,4,7,2.27501E+11,1
US,-5,en,174,183,1x3090,59,6,3.13311E+11,1
NL,2,nl,0,12,1x3090,6,1,1.4673E+11,0
GB,0,en,174,9963,6x3090,3,3,9.35724E+11,1
VN,7,en,575,780,1x3080,51,6,1.94515E+11,1
IN,5,en,118,1081,1x3090,60,1,13651410944,0
TR,3,tr,0,41,1x3090,9,1,55974035456,0
TW,8,zh,255,206,1x3090,10,2,60588818432,1
PA,-5,es,45,1610,1x3090,32,1,1.33902E+11,1
US,-7,en,94,14442,18,14,1,40905998336,1
FR,1,fr,2,41,1x3090,1425,1,31837723284,1
US,-7,zh,217,33221,1x3090,14,6,3.88149E+11,1
VN,7,en,486,68,sliver,2,1,78447116288,1
DE,1,de,2,166,1x3090,1220,1,54313091072,1
CA,-4,en,3,84,1x3090,11,3,81033938483,1
BE,1,nl,2,82,cpuhub1,360,1,19641953707,1
AE,4,en,267,17178,6x3090,15,3,92935238874,1
VN,7,vi,NULL,40,1x3090,220,1,81731256320,1
US,-5,en,5,19702,cpuhub1,42,1,54798581760,1
VN,7,en,300,148,cpuhub1,16,1,32417775616,1
VN,7,vi,210,157307,1x2080Ti,17,3,61027123200,0
KR,9,ko,0,129,1x2080Ti,116,1,11236540416,0
VN,7,vi,195,987,1x2080Ti,95,2,42389017506,1
KW,3,en,13,3785,16,78,2,1.26815E+11,0
VN,7,vi,11,2784,1x2080Ti,21,1,20563623936,0
UZ,5,ru,0,1027,1x3090,11,1,29170335744,0
BR,-3,pt,1,20102,16,43,2,50662998016,0
VN,7,vi,165,115,1x2080Ti,14,1,9015656448,0
MX,-8,en,63,61,1x3090,39,4,4.03409E+11,1
