region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
VN,7,en,286,1.116666667,16,0.466666667,142.472,1
VN,7,vi,0,22.23333333,1x3090,0.4,13.49997157,0
MV,5,en,36,1.15,16,0.266666667,9.800973593,1
GR,2,el,1,0.3,1x3090,0.233333333,87.09367398,1
VN,7,vi,109,1323.483333,sliver,0.366666667,33.90165134,1
RU,3,en,4,0.45,1x3090,1.916666667,61.75572729,1
IT,1,en,17,0.366666667,1x3090,0.583333333,72.42409574,1
GB,0,en,134,2.116666667,16,0.316666667,2495.36,1
BR,-3,en,371,98.23333333,1x3080,0.2,35.18993672,1
VN,7,vi,0,19.33333333,1x3090,1.316666667,11.41794406,0
UA,2,ru,1,0.966666667,1x3090,0.85,60.61817856,1
DE,1,de,129,2064.85,1x3090,1.283333333,183.075,1
CO,-5,en,0,1.45,cpuhub1,1.466666667,27.6866007,0
ID,7,en,0,1,1x2080Ti,2.85,9.275703296,0
PH,8,en,63,1.883333333,1x3090,1.85,70.39316476,0
VN,7,en,2,24.7,16,1.316666667,23.15616299,1
US,1,de,38,355.6833333,1x3090,0.25,34.94589235,0
VN,7,vi,0,1.55,1x3090,0.166666667,29.66526362,0
US,-5,en,0,137.15,18,0.033333333,10.10659941,1
VN,7,vi,51,0.55,cpuhub1,0.65,36.92874957,0
VN,7,en,15,7.4,cpuhub1,1,107.617,1
VN,7,vi,0,0.6,1x3090,1.316666667,65.93131315,0
US,-6,en,0,0.383333333,16,0.083333333,11.67139184,1
VN,7,vi,88,95.61666667,1x3090,1.016666667,148.399,0
RU,5,ru,0,3.666666667,16,1.3,78.44082483,0
US,-5,en,0,0.716666667,6x2080ti,0.033333333,37.83576781,0
FR,2,fr,0,0.733333333,1x3090,0.1,36.52229888,1
DE,1,de,1,2.2,6x3080,0.083333333,6.193441233,1
VN,7,en,0,0.566666667,1x3090,0.65,54.51441766,0
CN,8,en,194,7.233333333,1x2080Ti,0.5,8.641314816,1
VN,7,vi,4,0.766666667,1x3090,1.816666667,29.39892531,0
IN,5,en,0,0.683333333,16,1.116666667,32.30348083,0
US,-4,en,0,0.75,1x3090,1.333333333,96.51932365,1
AE,4,en,64,480.5833333,1x3090,0.033333333,32.59794444,1
DE,1,de,29,2.1,cpuhub1,1.3,133.963,1
VN,7,en,289,201.1666667,17,5.033333333,144.033,1
US,-4,en,1,6.133333333,1x3090,7.483333333,32.18622833,1
VN,7,vi,0,23.88333333,1x3090,0.533333333,56.04114432,0
CA,-8,en,29,0.216666667,1x3090,15.8,162.352,1
VN,7,vi,0,0.866666667,1x2080Ti,0.35,55.92265523,1
MX,-6,en,265,306.2166667,16,0.433333333,351.12,1
SE,1,sv,8,56.11666667,1x3090,1.033333333,79.01334733,1
FR,2,en,11,0.85,cpuhub1,0.083333333,37.5390208,0
US,-5,en,317,0.766666667,6x3080,0.283333333,277.677,1
MX,-5,es,1,1.066666667,cpuhub1,2.55,12.6353408,0
US,-7,en,232,84.83333333,16,0.283333333,844.096,1
ES,1,es,2,0.666666667,22,0.116666667,59.72806834,1
IN,5,en,0,17.28333333,1x3090,0.85,177.805,0
